Date,Name,Tweets
1 feb.,Carlos Sopeña,"Por cierto, que me pregunto cómo va a ser circular en bici por las avenidas del centro con el #MetroTUS silbándonos por la derecha y los coches esquivándonos por la izquierda."
1 feb.,eldiariomontanes.es,"#MetroTUS Las puertas traseras de uno de los autobuses de la línea central no se cerraban. Tras 20 minutos de espera, tuvieron que 'tirar' de vehículo de sustitución  http://www.eldiariomontanes.es/santander/veinte-minutos-averia-20180201120312-nt.html …"
1 feb.,Anonymous,Perdón ¿esto del #metroTUS de quien ha sido idea? Seguro que del mismo que propuso cambiar las farolas a LED #santander no te reconozco  @Postureo_CANT @gemaigual que desastre de líneas de autobús! Que necesidad había!! Somos una ciudad PEQUEÑA con una única arteria principal!
1 feb.,Francisco Díez,"Hoy comienza una nueva era apocalíptica, hoy comienza el #MetroTUS Suerte humanos santanderinos
#Santander"
1 feb.,Anonymous,"Estelar estreno del #MetroTus en #Santander | Bus roto, 20 minutos tarde... | Lo que antes hacia en 15 minutos hoy he tardado 35...pic.twitter.com/f3UMc3crJX"
1 feb.,Elena Rigby,"Primer día del #metroTUS: no coincide la info de la app con la de los paneles,espera de casi 15 minutos para hacer trasbordo, avería de un autobús... Al final, 45 minutos para ir de Valdenoja al centro, un trayecto que en hora punta se hacía en 20. @gemaigual.
Foto: bus averiado.pic.twitter.com/HHX9X1ySZN"
1 feb.,Quique Gordaliza,"Hoy se inaugura el #metroTUS en Santander. ¿Dónde está TUSO, @gemaigual ?pic.twitter.com/VTTk753jjz"
1 feb.,Ana,Primer día: salgo antes de casa llego mas tarde. Gracias. #MetroTUS
1 feb.,Anonymous,"MENOS MAL que en los propios buses tienen folletos que ayudan a los usuarios a entender el funcionamiento del #MetroTUS. A Dios gracias, porque si no... 

El meme crece cada vez más. #Santander #SDRpic.twitter.com/xRO9DtLPzv"
1 feb.,Sybil Ren,Os va a llamar Pablo Motos para que le expliquéis el proyecto al resto de España y nos podamos reír todos juntos. #MetroTUS
1 feb.,Yo mismo.,¿Lo del plano de las líneas del #MetroTus es para que nos pensemos que en Santander tenemos de verdad un metro y no unas líneas de toda la vida de autobús? Lo veo y lo primero que pienso es que vaya SANTA #CosmoPaletada
1 feb.,leti lo,Simplemente NO era necesario #MetroTUS #absurdo #atascos
1 feb.,Pablo Cantabria,¿Por qué no va el 7 a la Universidad por el túnel también a mediodía y por la tarde como hacía el 3 antes? Ahora en el 7 solo se puede ir a la Universidad de forma rápida por la mañana. El resto de horas vuelta por el Sardinero. @gemaigual #metrotus
1 feb.,Eugenia Renedo,"Pues ya he estrenado la nueva línea central del #metroTUS 
Se agradece que haya informadores en el intercambiador estos primeros días de confusión"
1 feb.,Álvaro Rodríguez,Una súper línea de #MetroTUS que para en un sentido de una calle pero justo en la parada de enfrente no. Casimiro Sainz  #Santander
1 feb.,eldiariomontanes.es,La alcaldesa de #santander ha hecho balance del primer día del #MetroTUS http://www.eldiariomontanes.es/santander/gema-igual-pequena-20180201131204-nt.html …
1 feb.,Tomás Ortiz,Mi sobrina hoy a cuenta del #MetroTUS ha llegado 15’ tarde a clase...
1 feb.,Carlos Sopeña,"Todo lo que oigo y leo sobre el #MetroTUS parece tan desastroso que, a pesar del aguacero, he preferido venir al trabajo en bici. Mejor llegar calado que al borde de un ataque de nervios."
1 feb.,Emilio_RRC,"Oye Gema same (o @gemaigual sin google translator) ya que al parecer el #metroTus ha salido un poco chapuza ¿no? como lo de la web de @TurismoSDR.
¿Lo de poner los buses gratis hasta que se arregle la chapuza no es una opción? ¿los santanderinos son sus coballas?"
1 feb.,Pablo Cantabria,Con el #MetroTUS mucha gente de la periferia que antes llegaba en un único bus al centro ahora tiene que hacer transbordos y esperas. Enhorabuena @gemaigual
1 feb.,Sergio Blanco,Aquí... 20 minutos esperando al autobús que se supone que han puesto cada 15 minutos... enhorabuena #MetroTUS
1 feb.,Pablo Cantabria,Con el #MetroTUS no hay ninguna linea que desde la parada de Casimiro Sainz vaya por el tunel. Porque la linea 6 no hace ya ese recorrudo y la linea central no para en Casimiro Sainz dirección Sardinero (aunque sí dirección Valdecilla). Sinsentido @gemaigual
1 feb.,Elena Díaz,Y que me dices de los intercambiadores NADA protegidos? Acaso vivimos en un sitio donde hace bueno todo el año y no llueve de lado? #MetroTUS #Santander
1 feb.,Elena Díaz,Y esos intercambiadores... que no intercambian nada! A ver si les entra en la cabeza a los “ingenieros” del Ayto que en un intercambiador se cambia el medio de transporte. NO ES UN TRASBORDO #memos #Santander #smartmierda #MetroTUS
1 feb.,Elena Díaz,Nefasto primer día de #MetroTUS llevo 15 minutos esperando al 5 en su cabecera... ni que decir tiene que no funciona ninguna App de información. A tope #Santander #mierda #metrotuscaca
1 feb.,Patricia,Primeras reacciones sobre el #MetroTUS #señorasquejándose #orcoñoras
1 feb.,Manugez,"Ha empezado el caos del #MetroTUS , bus 12 que sale antes de tiempo y nos hace bajarnos por que el 12 que teníamos que haber cogido está detrás"
1 feb.,Tomás Ortiz,Hoy en #Santander se inaugura el #MetroTUS ojo! A las cámaras que llevan los autobuses que ponen multas
1 feb.,Begoña Ubilla,"He cogido el #metrotus a ver qué tal!!!  en Santander, Cantabria https://www.instagram.com/p/BepQKnMgccXNeF-gjdAUCq9RTV5bWy1er4AdPY0/ …"
1 feb.,Anonymous,Intentando comprender la utilidad del #MetroTUS y la nueva configuración de las líneas de bus. #SDR #Santanderpic.twitter.com/Ije6svfS4q
Date,Name,Tweets
2 feb.,Patricia Manrique,"@_CNSV_ @cnsvbesaya A pegarlo por los pueblos, si queremos que sea una huelga también paisana, no sólo «ciudadana». Animaos, que a mí me coge retirado y aquí mucho #MetroTUS cosmopaleto pero las cercanías son, como sabéis, (también) muy deficientes. https://twitter.com/_CNSV_/status/958069827742195714 …"
2 feb.,Anonymous,"Me parece flaman que monten todo este tinglado para empeorar la frecuencia de paso de autobuses en algunos puntos del extrarradio, y obligar a la gente a bajarse en el intercambiador de turno para esperar a esas unidades tan guapas que ahora toca amortizar. #MetroTUS #SDR"
2 feb.,Miguel Cot.,No se puede explicar mejor. #MetroTUS pic.twitter.com/LFKYZRDSRd
2 feb.,Laura Escudero,TAL CUAL #MetroTUS  pic.twitter.com/asOPuQyawW
2 feb.,Pablo Rasines,En lugar de un bus el doble de grande cada 15 minutos pon 2 normales cada 7 para que haya más coincidencias. No hace falta ser ingeniero @gemaigual #MetroTUS #Santander
2 feb.,Pablo Rasines,"45 minutos de Correos a Monte cuando antes eran 20 y sin bajarte. Líneas 9 y 20 pasan seguidas por el intercambiador, si no lo coges, 20 minutos de espera con frío y agua. Terminales sin cubrir... #MetroTUS #Santander @gemaigual"
2 feb.,Rafa Casuso,#MetroTUS #Santander ¿Te gusta este experimento?pic.twitter.com/KmNNtSRh7C
2 feb.,Óscar Manteca García,"#MetroTUS o como @idlserna nos vendió humo a precio de oro, ni funciona mejor ni resuelve problemas, es simplemente la nada más absoluta. Ni hay metro ni hay casi carriles bus ni para en todas las estaciones ni ha dejado a nadie contenta, sí a quien se llevado 7millones €"
2 feb.,Maikeluco,Lo del #MetroTUS nos pareció a todos un esperpento desde que publicaron la #SmartInfografía. Pero yo ardo en deseos de ver a turistas despistaus buscando la boca del metro...
2 feb.,Guillem Ruisánchez,"La alcaldesa vuelve a equivocarse. En respuesta al PSOE sobre el #metroTUS pide paciencia y dice que es pronto para criticar ¿Pronto para quién? No se da cuenta que los tiempos de las protestas los marcan los vecinos, que no llevan bien lecciones de paciencia. #Santander"
2 feb.,PSOE Santander,.@pedro_casares: El #metrotus trae consigo problemas de tráfico y de aparcamientos. Esperamos que su implantación se pueda mejorar @Cantabriaaldia @OIDRadio4G
2 feb.,PSOE Santander,@pedro_casares ya está en directo en  @OIDRadio4G para analizar el #metroTUS y el Debate del Estado de la Ciudad de #Santander. Escúchale en  http://ns100.emisionlocal.com:9428/live pic.twitter.com/STyh0KKhUk
2 feb.,Francisco Díez,"Ayer nos hemos dado cuenta de que llueve en #Santander y de que hay que cubrir las ""terminarles"" del #MetroTus... Nada puede salir bien partiendo de este punto."
2 feb.,Pablo Cantabria,#MetroTUS día dos. Sigo preguntando por qué el 7 no puede ir a la Universidad por el túnel a todas las horas puntas (y volver) tal y como hacia el 3. Me dice señora @gemaigual como se va desde el centro a la Universidad sin tener que dar la vuelta por el Sardinero? No se puede.
2 feb.,Guillem Ruisánchez,"Lectura muy básica del #metroTUS No era lo que necesitaba #Santander pero el PP no sabe hacer nada sin gastar millones en construir cosas innecesarias. Es el  desorden de prioridades, una vez más. Lo que hacía falta es más autobuses (para mejores frecuencias) y más conductores."
2 feb.,Jesús López Brea,"Esta mañana, entre el frío, el agua y la confusión de los santanderinos con el nuevo #MetroTUS he visto a la gente muy alterada (usuarios y conductores)
#calma
Es fácil entender que gran parte de la población no sabe interpretar estos planos de las líneas del TUS y sus cambios.pic.twitter.com/sLdKsmHctC"
2 feb.,eldiariomontanes.es,Así es el centro de operaciones del nuevo #MetroTUS http://www.eldiariomontanes.es/santander/cerebro-metrotus-20180202215158-nt.html …
2 feb.,Elena Rigby,"Si la línea 20 del #metroTUS  pasa cada 30-45 minutos, ¿cómo es posible esto? Las frecuencias siguen quedándose muuuuuy cortas, sobre todo en la periferia. @dmontanes @andresh @GRuisanchez @evasis87pic.twitter.com/Urc2scgajp"
2 feb.,Tomás Ortiz,Vaya despliegue que hace el Diario Montañés del #MetroTUS me recuerda a los del Centro Botín 
2 feb.,Tomás Ortiz,"Sra @gemaigual tiene a media ciudad soliviantada a cuenta del #MetroTUS sobretodo jubilados que son los qye más votan PP en Santander,y a la otra con la peatonalizciòn de http://Cervantes.No  será mejor que deje de enredar para no perder la alcaldía #reflexion"
2 feb.,Anonymous,"El cambio va a llegar en este caso de la mano de la ingeniería miérder. Lo que nadie logró, puede conseguirlo el #MetroTUS."
2 feb.,AndrewPatrick,"La alcaldesa de Santander @gemaigual , respecto a los problemas de #MetroTUS, dice que todos proyectos necesitan una adaptación. Adaptación y claro, un plan de gestión de riesgos y calidad. Esto sin duda lleva a un éxito de proyecto
Ánimo con la gestión de este gran proyecto 
#"
2 feb.,eldiario.esCantabria,"SANTANDER | Igual pide un ""poquito de paciencia"" con el Metro-TUS, en el que ya se solucionan las incidencias #MetroTUS http://www.eldiario.es/_2bde1dc7 pic.twitter.com/PKZwZcfoEG"
